variant.id;id;sku;title;price;product_id;title.1;totalInventory;totalVariants;mediaCount;sku_2
gid://shopify/ProductVariant/46336185958695;gid://shopify/ProductVariant/46336185958695;BR05650T;Default Title;23000.0;gid://shopify/Product/8573585883431;Brinco Ear Cuff Deco 2019 De Ouro Branco 18K E Diamante;5;1;2;BR05650T
gid://shopify/ProductVariant/46336250675495;gid://shopify/ProductVariant/46336250675495;CL01000;Default Title;3400.0;gid://shopify/Product/8573592142119;Colar Clássico De Ouro Branco 18K Com Ródio Negro E Diamante Negro;5;1;2;CL01000
gid://shopify/ProductVariant/46336255263015;gid://shopify/ProductVariant/46336255263015;CL00016;Default Title;1800.0;gid://shopify/Product/8573592699175;Corrente Clássico De Ouro Amarelo 18K;5;1;3;CL00016
gid://shopify/ProductVariant/46336256606503;gid://shopify/ProductVariant/46336256606503;CO01314;Default Title;2300.0;gid://shopify/Product/8573592895783;Corrente Clássico De Ouro Amarelo 18K;5;1;3;CO01314
gid://shopify/ProductVariant/46336259391783;gid://shopify/ProductVariant/46336259391783;CO01312;Default Title;2300.0;gid://shopify/Product/8573593190695;Corrente Clássico De Ouro Branco 18K Com Ródio Negro;5;1;0;CO01312
gid://shopify/ProductVariant/46336266240295;gid://shopify/ProductVariant/46336266240295;BR02212T;Default Title;2300.0;gid://shopify/Product/8573594140967;Piercing Clássico De Ouro Amarelo 18K E Diamante;5;1;3;BR02212T
gid://shopify/ProductVariant/46336269386023;gid://shopify/ProductVariant/46336269386023;PU01293T;Default Title;21800.0;gid://shopify/Product/8573594796327;Pulseira Clássico De Ouro Branco 18K Com Ródio Negro E Rubi;5;1;2;PU01293T
gid://shopify/ProductVariant/46336276201767;gid://shopify/ProductVariant/46336276201767;PU01552T;Default Title;1500.0;gid://shopify/Product/8573595549991;Pulseira Clássico De Ouro Rosa 18K E Safira;5;1;2;PU01552T
gid://shopify/ProductVariant/46336296485159;gid://shopify/ProductVariant/46336296485159;BR04857T;Default Title;1600.0;gid://shopify/Product/8573597647143;Brinco Especial De Ouro Amarelo 18K E Esmeralda;5;1;2;BR04857T
gid://shopify/ProductVariant/46336303038759;gid://shopify/ProductVariant/46336303038759;BR06513T;Default Title;18900.0;gid://shopify/Product/8573598368039;Brinco Especial De Ouro Branco 18K Com Ródio Negro E Esmeralda;0;1;1;BR06513T
gid://shopify/ProductVariant/46336308347175;gid://shopify/ProductVariant/46336308347175;BR04223T;Default Title;12400.0;gid://shopify/Product/8573598957863;Brinco Especial De Ouro Branco 18K E Diamante Negro;5;1;0;BR04223T
gid://shopify/ProductVariant/46336312607015;gid://shopify/ProductVariant/46336312607015;PU02059T;Default Title;140000.0;gid://shopify/Product/8573599711527;Pulseira Especial De Ouro Branco 18K E Diamante;0;1;1;PU02059T
gid://shopify/ProductVariant/46336406257959;gid://shopify/ProductVariant/46336406257959;BR06041T;Default Title;10500.0;gid://shopify/Product/8573608886567;Brinco Especial De Ouro Branco 18K E Diamante Solitário;5;1;3;BR06041T
gid://shopify/ProductVariant/46336406847783;gid://shopify/ProductVariant/46336406847783;BR06042T;Default Title;16800.0;gid://shopify/Product/8573609017639;Brinco Especial De Ouro Branco 18K E Diamante Solitário;5;1;3;BR06042T
gid://shopify/ProductVariant/46336409796903;gid://shopify/ProductVariant/46336409796903;CL04441;Default Title;5950.0;gid://shopify/Product/8573609476391;Colar Especial De Ouro Branco 18K E Diamante Solitário;5;1;2;CL04441
gid://shopify/ProductVariant/46336411205927;gid://shopify/ProductVariant/46336411205927;CL04443;Default Title;11000.0;gid://shopify/Product/8573609705767;Colar Especial De Ouro Branco 18K E Diamante Solitário;5;1;2;CL04443
gid://shopify/ProductVariant/46336427295015;gid://shopify/ProductVariant/46336427295015;CL04328;Default Title;39000.0;gid://shopify/Product/8573611573543;Colar Especial De Ouro Amarelo E Branco 18K E Diamante Fancy;0;1;1;CL04328
gid://shopify/ProductVariant/46336489095463;gid://shopify/ProductVariant/46336489095463;BR06473T;Default Title;57000.0;gid://shopify/Product/8573617799463;Brinco Ear Cuff Eterna Rock De Ouro Branco 18K Com Ródio Negro E Safira;0;1;1;BR06473T
gid://shopify/ProductVariant/46336525238567;gid://shopify/ProductVariant/46336525238567;BR03582T;Default Title;44000.0;gid://shopify/Product/8573625237799;Brinco Gala De Ouro Branco 18K Com Ródio Negro E Diamante;0;1;1;BR03582T
gid://shopify/ProductVariant/46336529334567;gid://shopify/ProductVariant/46336529334567;BR02064T;Default Title;8400.0;gid://shopify/Product/8573626286375;Brinco Galeria De Ouro Amarelo 18K;5;1;2;BR02064T
gid://shopify/ProductVariant/46336537592103;gid://shopify/ProductVariant/46336537592103;CO0866;M;5700.0;gid://shopify/Product/8573628252455;Colar Algema De Ouro Amarelo 18K E Diamante - M;5;1;4;CO0866
gid://shopify/ProductVariant/46336537854247;gid://shopify/ProductVariant/46336537854247;CL00098;M;4800.0;gid://shopify/Product/8573628481831;Colar Algema De Ouro Branco 18K Com Ródio Negro E Diamante - M;4;1;2;CL00098
