Cod_Cliente;Message_Error
CFTH011945;Email has already been taken
CFTH001892;Email has already been taken
CFTH001165;Email has already been taken
CIGL000303;Email has already been taken
CFTH006696;Email has already been taken
CFTH005894;Email has already been taken
CFTH012343;Email has already been taken
CFTH010945;Email has already been taken
CMAG000061;Email has already been taken
CMAG000158;Email has already been taken
CIGU014591;Email has already been taken
CFTH000751;Email has already been taken
CFTH000203;Email has already been taken
CBEL019777;Email has already been taken
CLMA000138;Email has already been taken
CFTH004889;Email has already been taken
CWEB000951;Email has already been taken
CWEB001117;Email has already been taken
PIGU010020;Email has already been taken
CMAG000012;Email has already been taken
CMAG000182;Email has already been taken
CWEB000274;Email has already been taken
CBAT003725;Email has already been taken
CFTH000516;Email has already been taken
CBEL005248;Email has already been taken
CWEB001171;Email has already been taken
CFTH001625;Email has already been taken
CFTH000193;Email has already been taken
CFTH000692;Email has already been taken
CIGU014420;Email has already been taken
CFTH002236;Email has already been taken
CFTH001517;Email has already been taken
CFTH002229;Email has already been taken
CWEB001398;Email has already been taken
CFTH000190;Email has already been taken
CFTH007905;Email has already been taken
CWEB000946;Email has already been taken
CFTH000130;Email has already been taken
CIGU014477;Email has already been taken
CFTH009220;Email has already been taken
CIGU014508;Email has already been taken
CFTH007131;Email has already been taken
CIGU005943;Email has already been taken
CFTH000041;Email has already been taken
CFFL000034;Email has already been taken
CFTH010522;Email has already been taken
CIGU012980;Email has already been taken
CIGU013494;Email has already been taken
CFTH007660;Email has already been taken
CFTH000292;Email has already been taken
CWEB000220;Email has already been taken
CMAT003871;Email has already been taken
CFTH001117;Email has already been taken
CIGU012832;Email has already been taken
CIGL000304;Email has already been taken
CIGU014047;Email has already been taken
CMAT013839;Email has already been taken
CFTH007602;Email has already been taken
CBEL019598;Email has already been taken
CFTH012322;Email has already been taken
CIGU014136;Email has already been taken
CFTH000160;Email has already been taken
CIGU013246;Email has already been taken
CKAS000040;Email has already been taken
CFTH006482;Email has already been taken
CFTH003739;Email has already been taken
CFTH001217;Email has already been taken
CWEB000315;Email has already been taken
CFTH001995;Email has already been taken
CDES000093;Email has already been taken
CMAT013900;Email has already been taken
CFFL000223;Email has already been taken
CMAG000070;Email has already been taken
CFTH000650;Email has already been taken
CIGU014337;Email has already been taken
CFTH009426;Email has already been taken
CWEB000121;Email has already been taken
CWEB001150;Email has already been taken
CMAG000065;Email has already been taken
CFTH006054;Email has already been taken
CIGU010345;Email has already been taken
CIGU000733;Email has already been taken
CFTH000370;Email has already been taken
CMAT013893;Email has already been taken
CIGL000298;Email has already been taken
CFTH000314;Email has already been taken
CFTH001252;Email has already been taken
CWEB001481;Email has already been taken
CWEB001366;Email has already been taken
CIGU012888;Email has already been taken
CFTH011818;Email has already been taken
CFTH000162;Email has already been taken
CFTH006025;Email has already been taken
CMAG000026;Email has already been taken
CMAG000034;Email has already been taken
CFTH012110;Email has already been taken
CWEB001307;Email has already been taken
CMAG000167;Email has already been taken
CFTH001137;Email has already been taken
CFTH006809;Email has already been taken
CFTH011616;Email has already been taken
CBAT003931;Email has already been taken
CIGU015380;Email has already been taken
CFTH001407;Email has already been taken
