id;title;key;value;__parentId
gid://shopify/Metafield/30872213750055;;metal;Ouro Amarelo;gid://shopify/Product/8573203808551
gid://shopify/Metafield/30872213782823;;cobertura;Ouro Amarelo;gid://shopify/Product/8573203808551
gid://shopify/Metafield/30872213815591;;cuidadospeca;"Evite o contato de uma joia com a outra. Guarde-as separadamente nas embalagens fornecidas pela Jack Vartanian;
Com o uso, fechos e tarraxas podem necessitar de ajustes para que fiquem com a pressão adequada. Entre em contato conosco;
Após o uso, aconselhamos limpar a joia com flanela de algodão para tirar possíveis resíduos de produtos como maquiagem e perfume;
Evite o contato com água do mar, cremes, perfumes e produtos químicos.";gid://shopify/Product/8573203808551
gid://shopify/Metafield/31224034754855;;metal_filters;"[""OURO""]";gid://shopify/Product/8573203808551
gid://shopify/Product/8573204300071;Colar Amore De Ouro 18K Com Ródio Negro;;;
gid://shopify/Metafield/30872213848359;;genero;"[""Feminino""]";gid://shopify/Product/8573204300071
gid://shopify/Metafield/30872213881127;;metal;Ouro Amarelo;gid://shopify/Product/8573204300071
gid://shopify/Metafield/30872213913895;;cobertura;Ródio Negro;gid://shopify/Product/8573204300071
gid://shopify/Metafield/30872213946663;;cuidadospeca;"Evite o contato de uma joia com a outra. Guarde-as separadamente nas embalagens fornecidas pela Jack Vartanian;
Com o uso, fechos e tarraxas podem necessitar de ajustes para que fiquem com a pressão adequada. Entre em contato conosco;
Após o uso, aconselhamos limpar a joia com flanela de algodão para tirar possíveis resíduos de produtos como maquiagem e perfume;
Evite o contato com água do mar, cremes, perfumes e produtos químicos.";gid://shopify/Product/8573204300071
gid://shopify/Metafield/31224034885927;;metal_filters;"[""OURO""]";gid://shopify/Product/8573204300071
gid://shopify/Product/8573204758823;Colar Amore De Ouro 18K Com Ródio Negro;;;
gid://shopify/Metafield/30872214602023;;genero;"[""Feminino""]";gid://shopify/Product/8573204758823
gid://shopify/Metafield/30872214634791;;metal;Ouro Amarelo;gid://shopify/Product/8573204758823
gid://shopify/Metafield/30872214667559;;cobertura;Ródio Negro;gid://shopify/Product/8573204758823
gid://shopify/Metafield/30872214700327;;cuidadospeca;"Evite o contato de uma joia com a outra. Guarde-as separadamente nas embalagens fornecidas pela Jack Vartanian;
Com o uso, fechos e tarraxas podem necessitar de ajustes para que fiquem com a pressão adequada. Entre em contato conosco;
Após o uso, aconselhamos limpar a joia com flanela de algodão para tirar possíveis resíduos de produtos como maquiagem e perfume;
Evite o contato com água do mar, cremes, perfumes e produtos químicos.";gid://shopify/Product/8573204758823
gid://shopify/Metafield/31224034984231;;metal_filters;"[""OURO""]";gid://shopify/Product/8573204758823
gid://shopify/Product/8573252272423;Brinco Avantgarde De Ouro 18K Com Ródio Negro E Diamante;;;
gid://shopify/Metafield/30872385978663;;genero;"[""Feminino""]";gid://shopify/Product/8573252272423
gid://shopify/Metafield/30872386011431;;metal;Ouro Amarelo;gid://shopify/Product/8573252272423
gid://shopify/Metafield/30872386076967;;cobertura;Ródio Negro;gid://shopify/Product/8573252272423
gid://shopify/Metafield/30872386142503;;pedra;"[""Diamante""]";gid://shopify/Product/8573252272423
gid://shopify/Metafield/30872386208039;;cuidadospeca;"Evite o contato de uma joia com a outra. Guarde-as separadamente nas embalagens fornecidas pela Jack Vartanian;
Com o uso, fechos e tarraxas podem necessitar de ajustes para que fiquem com a pressão adequada. Entre em contato conosco;
Após o uso, aconselhamos limpar a joia com flanela de algodão para tirar possíveis resíduos de produtos como maquiagem e perfume;
Evite o contato com água do mar, cremes, perfumes e produtos químicos.";gid://shopify/Product/8573252272423
gid://shopify/Metafield/31224035311911;;metal_filters;"[""OURO""]";gid://shopify/Product/8573252272423
gid://shopify/Product/8573252960551;Brinco Avantgarde De Ouro Branco 18K E Diamante;;;
gid://shopify/Metafield/30872391287079;;genero;"[""Feminino""]";gid://shopify/Product/8573252960551
gid://shopify/Metafield/30872391319847;;metal;Ouro Branco;gid://shopify/Product/8573252960551
gid://shopify/Metafield/30872391352615;;cobertura;Ouro Branco;gid://shopify/Product/8573252960551
gid://shopify/Metafield/30872391385383;;pedra;"[""Diamante""]";gid://shopify/Product/8573252960551
gid://shopify/Metafield/30872391418151;;cuidadospeca;"Evite o contato de uma joia com a outra. Guarde-as separadamente nas embalagens fornecidas pela Jack Vartanian;
Com o uso, fechos e tarraxas podem necessitar de ajustes para que fiquem com a pressão adequada. Entre em contato conosco;
Após o uso, aconselhamos limpar a joia com flanela de algodão para tirar possíveis resíduos de produtos como maquiagem e perfume;
Evite o contato com água do mar, cremes, perfumes e produtos químicos.";gid://shopify/Product/8573252960551
gid://shopify/Metafield/31224035508519;;metal_filters;"[""OURO""]";gid://shopify/Product/8573252960551
gid://shopify/Product/8573441376551;Brinco Black Leopardo De Prata Com Ródio Negro - G;;;
gid://shopify/Metafield/30873661276455;;genero;"[""Feminino""]";gid://shopify/Product/8573441376551
gid://shopify/Metafield/30873661309223;;metal;Prata;gid://shopify/Product/8573441376551
gid://shopify/Metafield/30873661341991;;cobertura;Ródio Negro;gid://shopify/Product/8573441376551
gid://shopify/Metafield/30873661374759;;cuidadospeca;"Evite o contato de uma joia com a outra. Guarde-as separadamente nas embalagens fornecidas pela Jack Vartanian;
Com o uso, fechos e tarraxas podem necessitar de ajustes para que fiquem com a pressão adequada. Entre em contato conosco;
Após o uso, aconselhamos limpar a joia com flanela de algodão para tirar possíveis resíduos de produtos como maquiagem e perfume;
Evite o contato com água do mar, cremes, perfumes e produtos químicos;
Para peças em prata o primeiro banho é cortesia;
Para peças ocas, evite atritos ou batidas.";gid://shopify/Product/8573441376551
gid://shopify/Product/8573441868071;Brinco Black Leopardo De Prata Com Ródio Negro - M;;;
gid://shopify/Metafield/30873664258343;;genero;"[""Feminino""]";gid://shopify/Product/8573441868071
gid://shopify/Metafield/30873664291111;;metal;Prata;gid://shopify/Product/8573441868071
gid://shopify/Metafield/30873664323879;;cobertura;Ródio Negro;gid://shopify/Product/8573441868071
gid://shopify/Metafield/30873664356647;;cuidadospeca;"Evite o contato de uma joia com a outra. Guarde-as separadamente nas embalagens fornecidas pela Jack Vartanian;
Com o uso, fechos e tarraxas podem necessitar de ajustes para que fiquem com a pressão adequada. Entre em contato conosco;
Após o uso, aconselhamos limpar a joia com flanela de algodão para tirar possíveis resíduos de produtos como maquiagem e perfume;
Evite o contato com água do mar, cremes, perfumes e produtos químicos;
Para peças em prata o primeiro banho é cortesia;
Para peças ocas, evite atritos ou batidas.";gid://shopify/Product/8573441868071
gid://shopify/Product/8573442294055;Colar Black Leopardo De Prata Com Ródio Negro - Maxi;;;
gid://shopify/Metafield/30873665700135;;genero;"[""Feminino""]";gid://shopify/Product/8573442294055
gid://shopify/Metafield/30873665732903;;metal;Prata;gid://shopify/Product/8573442294055
gid://shopify/Metafield/30873665765671;;cobertura;Ródio Negro;gid://shopify/Product/8573442294055
gid://shopify/Metafield/30873665798439;;cuidadospeca;"Evite o contato de uma joia com a outra. Guarde-as separadamente nas embalagens fornecidas pela Jack Vartanian;
Com o uso, fechos e tarraxas podem necessitar de ajustes para que fiquem com a pressão adequada. Entre em contato conosco;
Após o uso, aconselhamos limpar a joia com flanela de algodão para tirar possíveis resíduos de produtos como maquiagem e perfume;
Evite o contato com água do mar, cremes, perfumes e produtos químicos;
Para peças em prata o primeiro banho é cortesia;
Para peças ocas, evite atritos ou batidas.";gid://shopify/Product/8573442294055
gid://shopify/Product/8573469065511;Brinco Blossom De Prata Com Ouro Amarelo E Safira - G;;;
gid://shopify/Metafield/30873766789415;;genero;"[""Feminino""]";gid://shopify/Product/8573469065511
gid://shopify/Metafield/30873766822183;;metal;Prata;gid://shopify/Product/8573469065511
gid://shopify/Metafield/30873766854951;;cobertura;Ouro Amarelo;gid://shopify/Product/8573469065511
gid://shopify/Metafield/30873766887719;;pedra;"[""Safira""]";gid://shopify/Product/8573469065511
