Cod_Produto;Id_Product;Title_Product;image_url;Sku;Id_Variant;Title_Variant;Price
BR06376T;gid://shopify/Product/8573495181607;Brinco Celebrate De Ouro Branco 18K E Diamante;BR06376T;gid://shopify/ProductVariant/46335110545703;Default Title;38000.0
BR06378T;gid://shopify/Product/8573495607591;Brinco Celebrate De Ouro Branco 18K E Diamante;BR06378T;gid://shopify/ProductVariant/46335115788583;Default Title;26000.0
BR06388T;gid://shopify/Product/8573495968039;Brinco Celebrate De Ouro Branco 18K E Esmeralda;BR06388T;gid://shopify/ProductVariant/46335121588519;Default Title;50000.0
PI01465;gid://shopify/Product/8573496361255;Pingente Celebrate De Ouro Amarelo 18K E Esmeralda;PI01465;gid://shopify/ProductVariant/46335125422375;Default Title;78000.0
BR05398T;gid://shopify/Product/8573505634599;Brinco Chain De Prata Com Ouro Amarelo;BR05398T;gid://shopify/ProductVariant/46335226708263;Default Title;1250.0
BR05400T;gid://shopify/Product/8573505896743;Brinco Chain De Prata Com Ouro Amarelo - G;BR05400T;gid://shopify/ProductVariant/46335229755687;G;2300.0
BR05404T;gid://shopify/Product/8573506093351;Brinco Chain De Prata Com Ouro Amarelo;BR05404T;gid://shopify/ProductVariant/46335232704807;Default Title;980.0
BR05407T;gid://shopify/Product/8573506322727;Brinco Ear Cuff Chain De Prata Com Ouro Amarelo;BR05407T;gid://shopify/ProductVariant/46335235391783;Default Title;1800.0
BR05411T;gid://shopify/Product/8573506486567;Brinco Chain De Prata Com Ouro Amarelo - P;BR05411T;gid://shopify/ProductVariant/46335237685543;P;1600.0
BR05602T;gid://shopify/Product/8573506617639;Brinco Chain De Prata Com Ouro Amarelo;BR05602T;gid://shopify/ProductVariant/46335239291175;Default Title;1400.0
BR05399T;gid://shopify/Product/8573506715943;Brinco Chain De Prata Com Ródio Negro;BR05399T;gid://shopify/ProductVariant/46335240372519;Default Title;1250.0
BR05405T;gid://shopify/Product/8573506879783;Brinco Chain De Prata Com Ródio Negro;BR05405T;gid://shopify/ProductVariant/46335241519399;Default Title;980.0
BR05408T;gid://shopify/Product/8573506978087;Brinco Ear Cuff Chain De Prata Com Ródio Negro;BR05408T;gid://shopify/ProductVariant/46335242633511;Default Title;1800.0
BR05412T;gid://shopify/Product/8573507240231;Brinco Chain De Prata Com Ródio Negro - P;BR05412T;gid://shopify/ProductVariant/46335245091111;P;1600.0
CL04178;gid://shopify/Product/8573507469607;Colar Chain De Prata Com Ouro Amarelo - P;CL04178;gid://shopify/ProductVariant/46335247352103;P;6200.0
CL04182;gid://shopify/Product/8573507830055;Colar Chain De Prata Com Ouro Amarelo - G;CL04182;gid://shopify/ProductVariant/46335251644711;G;8500.0
