id;sku;title;price;key;namespace;type;value;__parentId;product_id;title;totalInventory;totalVariants;mediaCount;sku_2
gid://shopify/ProductVariant/46336149192999;CL01448;Default Title;7400.0;;;;;;gid://shopify/Product/8573582901543;Colar Choker De Ouro Branco 18K E Diamante;5.0;1.0;3.0;CL01448
gid://shopify/ProductVariant/46336152437031;CL01452;Default Title;5600.0;;;;;;gid://shopify/Product/8573583196455;Colar Choker De Ouro Branco 18K E Diamante;6.0;1.0;4.0;CL01452
gid://shopify/ProductVariant/46336174981415;BR05643T;Default Title;13000.0;;;;;;gid://shopify/Product/8573584998695;Brinco Ear Cuff Deco 2019 | Ouro Amarelo 18K com ródio negro E Diamantes;6.0;1.0;2.0;BR05643T
gid://shopify/ProductVariant/46336178258215;BR05649T;Default Title;14500.0;;;;;;gid://shopify/Product/8573585326375;Brinco Ear Cuff Deco 2019 | Ouro Amarelo 18K com ródio negro E Diamantes;5.0;1.0;2.0;BR05649T
gid://shopify/ProductVariant/46336182747431;BR05642T;Default Title;14900.0;;;;;;gid://shopify/Product/8573585621287;Brinco Ear Cuff Deco 2019 | Ouro Branco 18K E Diamantes;5.0;1.0;2.0;BR05642T
gid://shopify/ProductVariant/46336185958695;BR05650T;Default Title;23000.0;;;;;;gid://shopify/Product/8573585883431;Brinco Ear Cuff Deco 2019 De Ouro Branco 18K E Diamante;5.0;1.0;2.0;BR05650T
gid://shopify/ProductVariant/46336188449063;CL04288;Default Title;36300.0;;;;;;gid://shopify/Product/8573586145575;Colar Deco 2019 De Ouro Amarelo 18K E Diamante;0.0;1.0;2.0;CL04288
gid://shopify/ProductVariant/46336190873895;CL04279;Default Title;46000.0;;;;;;gid://shopify/Product/8573586374951;Colar Deco 2019 De Ouro Branco 18K E Diamante;1.0;1.0;2.0;CL04279
gid://shopify/ProductVariant/46336245661991;BR02400T;Default Title;6800.0;;;;;;gid://shopify/Product/8573591617831;Brinco Clássico | Ouro Amarelo 18K E Diamantes;5.0;1.0;3.0;BR02400T
gid://shopify/ProductVariant/46336245727527;BR02108T;Default Title;6800.0;;;;;;gid://shopify/Product/8573591716135;Brinco Clássico | Ouro Branco 18K E Diamantes;5.0;1.0;2.0;BR02108T
gid://shopify/ProductVariant/46336246710567;BR02120T;Default Title;6800.0;;;;;;gid://shopify/Product/8573591781671;Brinco Clássico | Ouro Rosa 18K E Diamantes;6.0;1.0;2.0;BR02120T
gid://shopify/ProductVariant/46336249626919;BR02148T;Default Title;2300.0;;;;;;gid://shopify/Product/8573591978279;Piercing Clássico De Ouro Rosa 18K E Diamante;5.0;1.0;3.0;BR02148T
gid://shopify/ProductVariant/46336250675495;CL01000;Default Title;3400.0;;;;;;gid://shopify/Product/8573592142119;Colar Clássico De Ouro Branco 18K Com Ródio Negro E Diamante Negro;8.0;1.0;2.0;CL01000
gid://shopify/ProductVariant/46336251560231;CL01042;Default Title;4100.0;;;;;;gid://shopify/Product/8573592273191;Colar Clássico De Ouro Branco 18K Com Ródio Negro E Diamante Negro;7.0;1.0;2.0;CL01042
gid://shopify/ProductVariant/46336252641575;CL01100;Default Title;6100.0;;;;;;gid://shopify/Product/8573592371495;Colar Clássico De Ouro Branco 18K Com Ródio Negro E Diamante;0.0;1.0;2.0;CL01100
gid://shopify/ProductVariant/46336253985063;CL00999;Default Title;3400.0;;;;;;gid://shopify/Product/8573592568103;Colar Clássico De Ouro Branco 18K E Diamante Negro;7.0;1.0;2.0;CL00999
gid://shopify/ProductVariant/46336255263015;CL00016;Default Title;1800.0;;;;;;gid://shopify/Product/8573592699175;Corrente Clássico De Ouro Amarelo 18K;5.0;1.0;3.0;CL00016
gid://shopify/ProductVariant/46336256606503;CO01314;Default Title;2900.0;;;;;;gid://shopify/Product/8573592895783;Corrente Você|  De Ouro Amarelo 18K 40cm;10.0;1.0;4.0;CO01314
gid://shopify/ProductVariant/46336258277671;CO01318;Default Title;3700.0;;;;;;gid://shopify/Product/8573593059623;Corrente Clássico De Ouro Amarelo 18K;8.0;1.0;3.0;CO01318
gid://shopify/ProductVariant/46336259391783;CO01312;Default Title;2900.0;;;;;;gid://shopify/Product/8573593190695;Corrente Você | De Ouro Branco 18K Com Ródio Negro 45cm;11.0;1.0;3.0;CO01312
gid://shopify/ProductVariant/46336259981607;CO01316;Default Title;3700.0;;;;;;gid://shopify/Product/8573593288999;Corrente Clássico De Ouro Branco 18K Com Ródio Negro;8.0;1.0;3.0;CO01316
