id;sku;title;price;compareAtPrice;product_id;title.1;totalInventory;totalVariants;mediaCount;sku_2
gid://shopify/ProductVariant/46355508396327;BR05995T;Default Title;1400.0;1400.0;gid://shopify/Product/8577772814631;Brinco Pop Chain De Prata Com Ouro Amarelo;13.0;1.0;2;BR05995T
gid://shopify/ProductVariant/46355511148839;CL04429;Default Title;3900.0;3900.0;gid://shopify/Product/8577773699367;Colar Pop Chain De Prata Com Ouro Amarelo;10.0;1.0;2;CL04429
gid://shopify/ProductVariant/46355511476519;BR06004T;Default Title;980.0;980.0;gid://shopify/Product/8577773928743;Piercing Pop Chain De Prata Com Ouro Amarelo;7.0;1.0;2;BR06004T
gid://shopify/ProductVariant/46355517669671;BR05783T;Default Title;3500.0;3500.0;gid://shopify/Product/8577776320807;Brinco Rock&Hot De Prata Com Ouro Amarelo E Ágata;9.0;1.0;2;BR05783T
gid://shopify/ProductVariant/46355630096679;BR06544T;Default Title;3400.0;3400.0;gid://shopify/Product/8577852866855;Brinco Mare De Prata Com Ouro Amarelo e Pérola;7.0;1.0;5;BR06544T
gid://shopify/ProductVariant/46355630719271;BR06545T;Default Title;2600.0;2600.0;gid://shopify/Product/8577852965159;Brinco Mare De Prata Com Ouro Amarelo;6.0;1.0;3;BR06545T
gid://shopify/ProductVariant/46355633602855;BR06547T;Default Title;4500.0;3900.0;gid://shopify/Product/8577853358375;Brinco Mare Maxi De Prata Com Ouro Amarelo;7.0;1.0;3;BR06547T
gid://shopify/ProductVariant/46355634782503;BR06549T;Default Title;1200.0;1200.0;gid://shopify/Product/8577853587751;Brinco Mare De Prata Com Ouro Amarelo e Pérola;12.0;1.0;3;BR06549T
gid://shopify/ProductVariant/46355635962151;BR06554T;Default Title;3900.0;3900.0;gid://shopify/Product/8577853718823;Brinco Madrepérola Negra  Mare De Prata Com Ouro Amarelo;3.0;1.0;3;BR06554T
gid://shopify/ProductVariant/46355635994919;BR06559T;Default Title;1900.0;1900.0;gid://shopify/Product/8577853751591;Brinco Mare De Prata Com Ouro Amarelo;11.0;1.0;5;BR06559T
gid://shopify/ProductVariant/46355636060455;BR06560T;Default Title;490.0;490.0;gid://shopify/Product/8577853817127;Brinco Mare De Prata Com Ouro Amarelo;8.0;1.0;3;BR06560T
gid://shopify/ProductVariant/46355636224295;CL04621;M;2700.0;2700.0;gid://shopify/Product/8577853980967;Colar Mare De Prata Com Ouro Amarelo - M;9.0;1.0;4;CL04621
gid://shopify/ProductVariant/46355638059303;CL04622;G;3500.0;3500.0;gid://shopify/Product/8577854243111;Colar Mare De Prata Com Ouro Amarelo - G;11.0;1.0;4;CL04622
gid://shopify/ProductVariant/46355645202727;PI01495;Default Title;980.0;980.0;gid://shopify/Product/8577855422759;Piercing Mare De Prata Com Ouro Amarelo;13.0;1.0;3;PI01495
gid://shopify/ProductVariant/46355669713191;PI01496;Default Title;1300.0;1300.0;gid://shopify/Product/8577858339111;Piercing Mare De Prata Com Ouro Amarelo e Pérola;7.0;1.0;5;PI01496
gid://shopify/ProductVariant/46356154351911;CL04314;Default Title;3500.0;3500.0;gid://shopify/Product/8577922466087;Colar JV MAN II De Prata Com Ródio Negro;6.0;1.0;2;CL04314
gid://shopify/ProductVariant/46356154614055;PI01321;Default Title;1800.0;1800.0;gid://shopify/Product/8577922662695;Pingente JV MAN II De Prata Com Ródio Negro E Diamante Negro;7.0;1.0;2;PI01321
gid://shopify/ProductVariant/46356161265959;PI01318;Default Title;950.0;950.0;gid://shopify/Product/8577923416359;Pingente JV MAN II De Prata Com Ródio Negro E Olho De Tigre;8.0;1.0;2;PI01318
gid://shopify/ProductVariant/46356164804903;PI01331;Default Title;950.0;950.0;gid://shopify/Product/8577923907879;Pingente JV MAN II De Prata Com Ródio Negro;7.0;1.0;3;PI01331
gid://shopify/ProductVariant/46356188561703;PU01873T;P;2900.0;2900.0;gid://shopify/Product/8577927676199;Pulseira JV MAN II De Prata Com Ouro Branco;9.0;2.0;2;PU01873T
gid://shopify/ProductVariant/46356211204391;PU01858T;P;1590.0;1590.0;gid://shopify/Product/8577931280679;Pulseira JV MAN II De Prata Com Ouro Branco;33.0;4.0;2;PU01858T
gid://shopify/ProductVariant/46356295876903;PU01904T;P;1590.0;1590.0;gid://shopify/Product/8577942192423;Pulseira JV MAN II De Prata Com Ouro Branco Fosco;22.0;4.0;1;PU01904T
gid://shopify/ProductVariant/46356299809063;PU01885T;P;2700.0;2700.0;gid://shopify/Product/8577943175463;Pulseira JV MAN II De Prata Com Ouro Branco Fosco;26.0;4.0;1;PU01885T
gid://shopify/ProductVariant/46356305084711;PU01892T;P;2900.0;2900.0;gid://shopify/Product/8577943961895;Pulseira JV MAN II De Prata Com Ródio Negro Fosco;7.0;1.0;1;PU01892T
gid://shopify/ProductVariant/46356739948839;BR06212T;Default Title;1600.0;1600.0;gid://shopify/Product/8577997570343;Brinco Rock Chain De Prata Com Ouro Amarelo;28.0;1.0;5;BR06212T
gid://shopify/ProductVariant/46356741456167;BR06209T;Default Title;2100.0;2100.0;gid://shopify/Product/8577997734183;Brinco Rock Chain De Prata Com Ouro Amarelo;18.0;1.0;5;BR06209T
gid://shopify/ProductVariant/46356780319015;BR06207T;Default Title;3200.0;3200.0;gid://shopify/Product/8578001436967;Brinco Rock Chain De Prata Com Ouro Amarelo;39.0;1.0;5;BR06207T
gid://shopify/ProductVariant/46356781859111;CL04525;Default Title;8900.0;8900.0;gid://shopify/Product/8578001633575;Colar Rock Chain De Prata Com Ouro Amarelo;22.0;1.0;4;CL04525
gid://shopify/ProductVariant/46356804993319;PI01380;Default Title;450.0;450.0;gid://shopify/Product/8578005106983;Pingente Rock Chain De Prata Com Ouro Amarelo;13.0;1.0;4;PI01380
gid://shopify/ProductVariant/46356807024935;PU02014T;P;2800.0;2800.0;gid://shopify/Product/8578005369127;Pulseira Rock Chain De Prata Com Ouro Amarelo;20.0;3.0;5;PU02014T
gid://shopify/ProductVariant/46356811415847;PU02067T;P;2800.0;2800.0;gid://shopify/Product/8578005827879;Pulseira Rock Chain De Prata Com Ródio Negro - P;21.0;3.0;3;PU02067T
gid://shopify/ProductVariant/46356815282471;PU02007T;P;5100.0;5100.0;gid://shopify/Product/8578006384935;Pulseira Rock Chain De Prata Com Ouro Amarelo;6.0;3.0;4;PU02007T
gid://shopify/ProductVariant/46358265463079;PI01428;A;1400.0;1400.0;gid://shopify/Product/8578290483495;Pingente Letra Rock Chain De Prata Com Ouro Amarelo e Diamantes;161.0;26.0;28;PI01428
gid://shopify/ProductVariant/46358389227815;PI01098;A;750.0;750.0;gid://shopify/Product/8578319089959;Pingente Pop De Prata Com Ouro Amarelo - M;450.0;26.0;28;PI01098
gid://shopify/ProductVariant/46358393225511;PI01072;A;900.0;900.0;gid://shopify/Product/8578319286567;Pingente Pop De Prata Com Ouro Amarelo - G;351.0;26.0;28;PI01072
gid://shopify/ProductVariant/46358729228583;CL04548;P;6700.0;6700.0;gid://shopify/Product/8578411102503;Colar Black Leopardo De Prata Com Ródio Negro;12.0;3.0;2;CL04548
gid://shopify/ProductVariant/46358730375463;PU02039T;PP;3500.0;3500.0;gid://shopify/Product/8578411659559;Pulseira Black Leopardo De Prata Com Ródio Negro;10.0;3.0;3;PU02039T
gid://shopify/ProductVariant/46358753411367;PU02080T;P;2800.0;2800.0;gid://shopify/Product/8578425356583;Pulseira Mare De Prata Com Ouro Amarelo;26.0;3.0;4;PU02080T
gid://shopify/ProductVariant/46358760849703;PU02077T;P;4900.0;4900.0;gid://shopify/Product/8578429944103;Pulseira Mare Maxi De Prata Com Ouro Amarelo;25.0;3.0;4;PU02077T
gid://shopify/ProductVariant/46358771466535;PU01729T;P;3900.0;3900.0;gid://shopify/Product/8578434957607;Pulseira Riviera De Prata Com Ouro Amarelo;17.0;3.0;2;PU01729T
gid://shopify/ProductVariant/46358773203239;PU01735T;P;2150.0;2150.0;gid://shopify/Product/8578435481895;Pulseira Riviera De Prata Com Ouro Amarelo;22.0;3.0;2;PU01735T
gid://shopify/ProductVariant/46358779953447;PU01938T;P;1950.0;1950.0;gid://shopify/Product/8578438824231;Pulseira Pop Chain De Prata Com Ródio Negro;8.0;2.0;2;PU01938T
gid://shopify/ProductVariant/46358793257255;CL04478;P;6700.0;6700.0;gid://shopify/Product/8578445705511;Colar Leopardo De Prata Com Ouro Amarelo;29.0;4.0;5;CL04478
gid://shopify/ProductVariant/46358793847079;PU01965T;P;3500.0;3500.0;gid://shopify/Product/8578446229799;Pulseira Leopardo De Prata Com Ouro Amarelo;52.0;4.0;4;PU01965T
gid://shopify/ProductVariant/46393444335911;AN03530-10;10;53000.0;53000.0;gid://shopify/Product/8582655213863;Anel Celebrate De Ouro Amarelo 18K E Diamante E Esmeralda;1.0;13.0;1;AN03530
gid://shopify/ProductVariant/46393444860199;AN03531-10;10;45000.0;45000.0;gid://shopify/Product/8582655312167;Anel Celebrate De Ouro Amarelo 18K E Diamante E Esmeralda;1.0;13.0;1;AN03531
gid://shopify/ProductVariant/46393446695207;AN03506-10;10;7900.0;7900.0;gid://shopify/Product/8582655705383;Anel Celebrate De Ouro Amarelo 18K E Diamante;66.0;13.0;3;AN03506
gid://shopify/ProductVariant/46393447973159;AN03505-10;10;11900.0;11900.0;gid://shopify/Product/8582656098599;Anel Celebrate De Ouro Branco 18K E Diamante;69.0;13.0;2;AN03505
gid://shopify/ProductVariant/46393448628519;AN03512-10;10;5900.0;5900.0;gid://shopify/Product/8582656327975;Anel Celebrate De Ouro Branco 18K E Esmeralda;67.0;13.0;3;AN03512
gid://shopify/ProductVariant/46393449939239;AN03074-10;10;1100.0;1100.0;gid://shopify/Product/8582656590119;Anel Chain De Prata Com Ródio Negro;5.0;13.0;3;AN03074
gid://shopify/ProductVariant/46393484706087;AN03027-10;10;17500.0;17500.0;gid://shopify/Product/8582661144871;Anel Lifestyle De Ouro Branco 18K E Diamante - G;1.0;13.0;2;AN03027
gid://shopify/ProductVariant/46393488146727;AN02815-10;10;6800.0;6800.0;gid://shopify/Product/8582661538087;Anel Love Ny De Ouro Amarelo 18K;67.0;13.0;2;AN02815
gid://shopify/ProductVariant/46393489260839;AN03585-10;10;1500.0;1500.0;gid://shopify/Product/8582661734695;Anel Mare De Prata Com Ouro Amarelo e Pérola;75.0;13.0;4;AN03585
gid://shopify/ProductVariant/46393489785127;AN03586-10;10;2100.0;2100.0;gid://shopify/Product/8582661865767;Anel Mare De Prata Com Ouro Amarelo;71.0;13.0;3;AN03586
gid://shopify/ProductVariant/46393492635943;AN01611-10;10;2500.0;2500.0;gid://shopify/Product/8582662390055;Anel Namo 2012 De Ouro Amarelo 18K;66.0;13.0;2;AN01611
gid://shopify/ProductVariant/46393498730791;AN03444-10;10;40800.0;40800.0;gid://shopify/Product/8582663471399;Anel Rock Star De Ouro Rosa E Branco 18K E Morganita E Diamante;1.0;13.0;1;AN03444
gid://shopify/ProductVariant/46393501450535;AN03405-10;10;7500.0;7500.0;gid://shopify/Product/8582663700775;Anel Rock Star De Ouro Branco 18K Com Ródio Negro E Diamante E Rubi - M;67.0;13.0;2;AN03405
gid://shopify/ProductVariant/46393501974823;AN03406-10;10;7500.0;7500.0;gid://shopify/Product/8582663799079;Anel Rock Star De Ouro Branco 18K Com Ródio Negro E Diamante E Safira - M;66.0;13.0;2;AN03406
gid://shopify/ProductVariant/46393503711527;AN03409-10;10;19000.0;19000.0;gid://shopify/Product/8582664093991;Anel Rock Star De Ouro Branco 18K Com Ródio Negro E Diamante E Rubi - G;66.0;13.0;2;AN03409
gid://shopify/ProductVariant/46393505055015;AN03456-10;10;18000.0;18000.0;gid://shopify/Product/8582664290599;Anel Rock Star De Ouro Branco 18K Com Ródio Negro E Quartzo E Diamante;1.0;13.0;1;AN03456
gid://shopify/ProductVariant/46393505480999;AN03542-10;10;24000.0;24000.0;gid://shopify/Product/8582664323367;Anel Rock Star De Ouro Branco 18K Com Ródio Negro E Diamante E Rubi;1.0;13.0;1;AN03542
gid://shopify/ProductVariant/46393509282087;AN03401-10;10;8100.0;8100.0;gid://shopify/Product/8582665077031;Anel Rock Star De Ouro Branco 18K Com Ródio Negro E Esmeralda - P;69.0;13.0;2;AN03401
gid://shopify/ProductVariant/46393511248167;AN06195-10;10;6500.0;6500.0;gid://shopify/Product/8582665437479;Anel Rock Star De Ouro Branco 18K Com Ródio Negro E Diamante;68.0;13.0;2;AN06195
gid://shopify/ProductVariant/46393513738535;AN02276-10;10;4500.0;4500.0;gid://shopify/Product/8582665634087;Anel Savage De Ouro Amarelo 18K E Diamante Solitário;66.0;13.0;2;AN02276
gid://shopify/ProductVariant/46393514197287;AN01867-10;10;3200.0;3200.0;gid://shopify/Product/8582665699623;Anel Savage De Ouro Branco 18K Com Ródio Negro E Safira;66.0;13.0;2;AN01867
gid://shopify/ProductVariant/46393515180327;AN01869-10;10;4500.0;4500.0;gid://shopify/Product/8582665896231;Anel Savage De Ouro Branco 18K Com Ródio Negro E Diamante Solitário;67.0;13.0;2;AN01869
gid://shopify/ProductVariant/46393516065063;AN01864-10;10;4900.0;4900.0;gid://shopify/Product/8582665961767;Anel Savage De Ouro Branco 18K E Diamante Solitário;68.0;13.0;2;AN01864
gid://shopify/ProductVariant/46393517441319;AN01870-10;10;4500.0;4500.0;gid://shopify/Product/8582666125607;Anel Savage De Ouro Rosa 18K E Diamante Solitário;69.0;13.0;1;AN01870
gid://shopify/ProductVariant/46393521537319;AN03573-10;10;89000.0;89000.0;gid://shopify/Product/8582666977575;Anel Vita Eterna De Ouro Amarelo E Branco 18K E Diamante E Esmeralda;1.0;13.0;2;AN03573
gid://shopify/ProductVariant/46496638009639;BR06424T;Default Title;90000.0;90000.0;gid://shopify/Product/8608707871015;Brinco Celebrate De Ouro Amarelo E Branco 18K E Diamante E Esmeralda;1.0;1.0;1;BR06424T
gid://shopify/ProductVariant/46496804372775;BR06383T;Default Title;91000.0;91000.0;gid://shopify/Product/8608784843047;Brinco Celebrate De Ouro Branco 18K E Diamante E Turmalina Paraiba;1.0;1.0;1;BR06383T
