id;sku;__parentId;product_id;product_title;totalVariants;inventoryItem_id;variant.id;variant.sku;variant.title;location_id;location_name;Qty;sku_2
gid://shopify/InventoryLevel/125625598247?inventory_item_id=48383864865063;CL04024;gid://shopify/ProductVariant/46332407382311;gid://shopify/Product/8573204758823;Colar Amore De Ouro Branco 18K Com Ródio Negro;1;gid://shopify/InventoryItem/48383864865063;gid://shopify/ProductVariant/46332407382311;CL04024;Default Title;gid://shopify/Location/88734269735;Encomenda - Ouro;5;CL04024
gid://shopify/InventoryLevel/125625663783?inventory_item_id=48383864865063;CL04024;gid://shopify/ProductVariant/46332407382311;gid://shopify/Product/8573204758823;Colar Amore De Ouro Branco 18K Com Ródio Negro;1;gid://shopify/InventoryItem/48383864865063;gid://shopify/ProductVariant/46332407382311;CL04024;Default Title;gid://shopify/Location/88734335271;Encomenda - Prata;0;CL04024
gid://shopify/InventoryLevel/125625598247?inventory_item_id=48384298320167;BR05813T;gid://shopify/ProductVariant/46332840935719;gid://shopify/Product/8573252272423;Brinco Avantgarde De Ouro Branco 18K Com Ródio Negro E Diamante;1;gid://shopify/InventoryItem/48384298320167;gid://shopify/ProductVariant/46332840935719;BR05813T;G;gid://shopify/Location/88734269735;Encomenda - Ouro;5;BR05813T
gid://shopify/InventoryLevel/125625663783?inventory_item_id=48384298320167;BR05813T;gid://shopify/ProductVariant/46332840935719;gid://shopify/Product/8573252272423;Brinco Avantgarde De Ouro Branco 18K Com Ródio Negro E Diamante;1;gid://shopify/InventoryItem/48384298320167;gid://shopify/ProductVariant/46332840935719;BR05813T;G;gid://shopify/Location/88734335271;Encomenda - Prata;0;BR05813T
gid://shopify/InventoryLevel/125625598247?inventory_item_id=48384304906535;BR05812T;gid://shopify/ProductVariant/46332847554855;gid://shopify/Product/8573252960551;Brinco Avantgarde De Ouro Branco 18K E Diamante;1;gid://shopify/InventoryItem/48384304906535;gid://shopify/ProductVariant/46332847554855;BR05812T;G;gid://shopify/Location/88734269735;Encomenda - Ouro;5;BR05812T
gid://shopify/InventoryLevel/125625663783?inventory_item_id=48384304906535;BR05812T;gid://shopify/ProductVariant/46332847554855;gid://shopify/Product/8573252960551;Brinco Avantgarde De Ouro Branco 18K E Diamante;1;gid://shopify/InventoryItem/48384304906535;gid://shopify/ProductVariant/46332847554855;BR05812T;G;gid://shopify/Location/88734335271;Encomenda - Prata;0;BR05812T
gid://shopify/InventoryLevel/125625598247?inventory_item_id=48386121433383;BR06282T;gid://shopify/ProductVariant/46334665654567;gid://shopify/Product/8573441376551;Brinco Black Leopardo De Prata Com Ródio Negro - G;1;gid://shopify/InventoryItem/48386121433383;gid://shopify/ProductVariant/46334665654567;BR06282T;G;gid://shopify/Location/88734269735;Encomenda - Ouro;0;BR06282T
gid://shopify/InventoryLevel/125625663783?inventory_item_id=48386121433383;BR06282T;gid://shopify/ProductVariant/46334665654567;gid://shopify/Product/8573441376551;Brinco Black Leopardo De Prata Com Ródio Negro - G;1;gid://shopify/InventoryItem/48386121433383;gid://shopify/ProductVariant/46334665654567;BR06282T;G;gid://shopify/Location/88734335271;Encomenda - Prata;0;BR06282T
gid://shopify/InventoryLevel/125625598247?inventory_item_id=48386124841255;BR06283T;gid://shopify/ProductVariant/46334669095207;gid://shopify/Product/8573441868071;Brinco Black Leopardo De Prata Com Ródio Negro - M;1;gid://shopify/InventoryItem/48386124841255;gid://shopify/ProductVariant/46334669095207;BR06283T;M;gid://shopify/Location/88734269735;Encomenda - Ouro;0;BR06283T
gid://shopify/InventoryLevel/125625663783?inventory_item_id=48386124841255;BR06283T;gid://shopify/ProductVariant/46334669095207;gid://shopify/Product/8573441868071;Brinco Black Leopardo De Prata Com Ródio Negro - M;1;gid://shopify/InventoryItem/48386124841255;gid://shopify/ProductVariant/46334669095207;BR06283T;M;gid://shopify/Location/88734335271;Encomenda - Prata;5;BR06283T
gid://shopify/InventoryLevel/125625598247?inventory_item_id=48386127692071;CL04551;gid://shopify/ProductVariant/46334672273703;gid://shopify/Product/8573442294055;Colar Black Leopardo De Prata Com Ródio Negro - Maxi;1;gid://shopify/InventoryItem/48386127692071;gid://shopify/ProductVariant/46334672273703;CL04551;M;gid://shopify/Location/88734269735;Encomenda - Ouro;0;CL04551
gid://shopify/InventoryLevel/125625663783?inventory_item_id=48386127692071;CL04551;gid://shopify/ProductVariant/46334672273703;gid://shopify/Product/8573442294055;Colar Black Leopardo De Prata Com Ródio Negro - Maxi;1;gid://shopify/InventoryItem/48386127692071;gid://shopify/ProductVariant/46334672273703;CL04551;M;gid://shopify/Location/88734335271;Encomenda - Prata;0;CL04551
gid://shopify/InventoryLevel/125625598247?inventory_item_id=48386312700199;BR05931T;gid://shopify/ProductVariant/46334857085223;gid://shopify/Product/8573469065511;Brinco Blossom De Prata Com Ouro Amarelo E Safira - G;1;gid://shopify/InventoryItem/48386312700199;gid://shopify/ProductVariant/46334857085223;BR05931T;G;gid://shopify/Location/88734269735;Encomenda - Ouro;0;BR05931T
gid://shopify/InventoryLevel/125625663783?inventory_item_id=48386312700199;BR05931T;gid://shopify/ProductVariant/46334857085223;gid://shopify/Product/8573469065511;Brinco Blossom De Prata Com Ouro Amarelo E Safira - G;1;gid://shopify/InventoryItem/48386312700199;gid://shopify/ProductVariant/46334857085223;BR05931T;G;gid://shopify/Location/88734335271;Encomenda - Prata;0;BR05931T
gid://shopify/InventoryLevel/125625598247?inventory_item_id=48386314633511;BR05938T;gid://shopify/ProductVariant/46334858985767;gid://shopify/Product/8573469491495;Brinco Blossom De Prata Com Ouro Amarelo E Safira;1;gid://shopify/InventoryItem/48386314633511;gid://shopify/ProductVariant/46334858985767;BR05938T;Default Title;gid://shopify/Location/88734269735;Encomenda - Ouro;0;BR05938T
gid://shopify/InventoryLevel/125625663783?inventory_item_id=48386314633511;BR05938T;gid://shopify/ProductVariant/46334858985767;gid://shopify/Product/8573469491495;Brinco Blossom De Prata Com Ouro Amarelo E Safira;1;gid://shopify/InventoryItem/48386314633511;gid://shopify/ProductVariant/46334858985767;BR05938T;Default Title;gid://shopify/Location/88734335271;Encomenda - Prata;5;BR05938T
gid://shopify/InventoryLevel/125625598247?inventory_item_id=48386317025575;BR05932T;gid://shopify/ProductVariant/46334861377831;gid://shopify/Product/8573469917479;Brinco Blossom De Prata Com Ródio Negro E Safira - G;1;gid://shopify/InventoryItem/48386317025575;gid://shopify/ProductVariant/46334861377831;BR05932T;G;gid://shopify/Location/88734269735;Encomenda - Ouro;0;BR05932T
gid://shopify/InventoryLevel/125625663783?inventory_item_id=48386317025575;BR05932T;gid://shopify/ProductVariant/46334861377831;gid://shopify/Product/8573469917479;Brinco Blossom De Prata Com Ródio Negro E Safira - G;1;gid://shopify/InventoryItem/48386317025575;gid://shopify/ProductVariant/46334861377831;BR05932T;G;gid://shopify/Location/88734335271;Encomenda - Prata;0;BR05932T
gid://shopify/InventoryLevel/125625598247?inventory_item_id=48386320630055;BR05933T;gid://shopify/ProductVariant/46334865015079;gid://shopify/Product/8573470408999;Brinco Blossom De Prata Com Ródio Negro E Safira - P;1;gid://shopify/InventoryItem/48386320630055;gid://shopify/ProductVariant/46334865015079;BR05933T;P;gid://shopify/Location/88734269735;Encomenda - Ouro;0;BR05933T
gid://shopify/InventoryLevel/125625663783?inventory_item_id=48386320630055;BR05933T;gid://shopify/ProductVariant/46334865015079;gid://shopify/Product/8573470408999;Brinco Blossom De Prata Com Ródio Negro E Safira - P;1;gid://shopify/InventoryItem/48386320630055;gid://shopify/ProductVariant/46334865015079;BR05933T;P;gid://shopify/Location/88734335271;Encomenda - Prata;0;BR05933T
gid://shopify/InventoryLevel/125625598247?inventory_item_id=48386323382567;BR05937T;gid://shopify/ProductVariant/46334867767591;gid://shopify/Product/8573470703911;Brinco Blossom De Prata Com Ródio Negro E Safira;1;gid://shopify/InventoryItem/48386323382567;gid://shopify/ProductVariant/46334867767591;BR05937T;Default Title;gid://shopify/Location/88734269735;Encomenda - Ouro;0;BR05937T
