id;sku;title;price;compareAtPrice;inventoryQuantity;product_id;title.1;totalInventory;totalVariants;mediaCount;sku_2
gid://shopify/ProductVariant/46336093389095;BR05604T;Default Title;12900.0;;5;gid://shopify/Product/8573577593127;Brinco Argola Chain Lovers - Mini | Ouro Branco 18K e Diamantes;5.0;1.0;3;BR05604T
gid://shopify/ProductVariant/46336096796967;BR05777T;Default Title;15900.0;12000.0;5;gid://shopify/Product/8573577920807;Piercing Chain Lovers | Ouro Branco 18K Com Ródio Negro E Diamantes;5.0;1.0;3;BR05777T
gid://shopify/ProductVariant/46336121569575;CL01443;Default Title;27900.0;20900.0;5;gid://shopify/Product/8573579919655;Colar Choker De Ouro Amarelo 18K;5.0;1.0;3;CL01443
gid://shopify/ProductVariant/46336139264295;CL03641;Default Title;8500.0;5200.0;5;gid://shopify/Product/8573581787431;Colar Choker De Ouro Branco 18K Com Ródio Negro E Rubi;5.0;1.0;3;CL03641
gid://shopify/ProductVariant/46336139493671;CL03642;Default Title;8900.0;6500.0;5;gid://shopify/Product/8573581852967;Colar Choker De Ouro Branco 18K Com Ródio Negro E Esmeralda;5.0;1.0;3;CL03642
gid://shopify/ProductVariant/46336139559207;CL03643;Default Title;6900.0;5200.0;5;gid://shopify/Product/8573581918503;Colar Choker De Ouro Branco 18K Com Ródio Negro E Safira;5.0;1.0;3;CL03643
gid://shopify/ProductVariant/46336139657511;CL03645;Default Title;7500.0;5500.0;5;gid://shopify/Product/8573582016807;Colar Choker | Ouro Branco 18K Com Ródio Negro E Diamantes Negros;5.0;1.0;3;CL03645
gid://shopify/ProductVariant/46336140837159;CL01438;Default Title;36900.0;32000.0;5;gid://shopify/Product/8573582213415;Colar Choker De Ouro Branco 18K E Diamante;5.0;1.0;3;CL01438
gid://shopify/ProductVariant/46336174981415;BR05643T;Default Title;14900.0;10900.0;5;gid://shopify/Product/8573584998695;Brinco Ear Cuff Deco 2019 | Ouro Amarelo 18K com ródio negro E Diamantes;5.0;1.0;2;BR05643T
gid://shopify/ProductVariant/46336178258215;BR05649T;Default Title;17900.0;14500.0;5;gid://shopify/Product/8573585326375;Brinco Ear Cuff Deco 2019 | Ouro Amarelo 18K com ródio negro E Diamantes;5.0;1.0;2;BR05649T
gid://shopify/ProductVariant/46336182747431;BR05642T;Default Title;18500.0;14900.0;5;gid://shopify/Product/8573585621287;Brinco Ear Cuff Deco 2019 | Ouro Branco 18K E Diamantes;5.0;1.0;2;BR05642T
gid://shopify/ProductVariant/46336185958695;BR05650T;Default Title;27900.0;23000.0;5;gid://shopify/Product/8573585883431;Brinco Ear Cuff Deco 2019 De Ouro Branco 18K E Diamante;5.0;1.0;2;BR05650T
gid://shopify/ProductVariant/46336249626919;BR02148T;Default Title;3900.0;2300.0;5;gid://shopify/Product/8573591978279;Piercing Clássico De Ouro Rosa 18K E Diamante;5.0;1.0;3;BR02148T
