id;sku;title;price;compareAtPrice;inventoryQuantity;product_id;title.1;totalInventory;totalVariants;mediaCount;sku_2
gid://shopify/ProductVariant/46336149192999;CL01448;Default Title;10900.0;7400.0;6;gid://shopify/Product/8573582901543;Colar Choker De Ouro Branco 18K E Diamante;6.0;1.0;3;CL01448
gid://shopify/ProductVariant/46336152437031;CL01452;Default Title;7900.0;5600.0;6;gid://shopify/Product/8573583196455;Colar Choker De Ouro Branco 18K E Diamante;6.0;1.0;4;CL01452
gid://shopify/ProductVariant/46336245661991;BR02400T;Default Title;9500.0;5200.0;6;gid://shopify/Product/8573591617831;Brinco Clássico | Ouro Amarelo 18K E Diamantes;6.0;1.0;3;BR02400T
gid://shopify/ProductVariant/46336245727527;BR02108T;Default Title;9500.0;5200.0;6;gid://shopify/Product/8573591716135;Brinco Clássico | Ouro Branco 18K E Diamantes;6.0;1.0;2;BR02108T
gid://shopify/ProductVariant/46336246710567;BR02120T;Default Title;9500.0;5200.0;6;gid://shopify/Product/8573591781671;Brinco Clássico | Ouro Rosa 18K E Diamantes;6.0;1.0;2;BR02120T
gid://shopify/ProductVariant/46336250675495;CL01000;Default Title;6900.0;3400.0;7;gid://shopify/Product/8573592142119;Colar Clássico De Ouro Branco 18K Com Ródio Negro E Diamante Negro;7.0;1.0;2;CL01000
gid://shopify/ProductVariant/46336253985063;CL00999;Default Title;6900.0;3400.0;6;gid://shopify/Product/8573592568103;Colar Clássico De Ouro Branco 18K E Diamante Negro;6.0;1.0;2;CL00999
gid://shopify/ProductVariant/46336258277671;CO01318;Default Title;5500.0;3700.0;6;gid://shopify/Product/8573593059623;Corrente Clássico De Ouro Amarelo 18K;6.0;1.0;3;CO01318
gid://shopify/ProductVariant/46336259981607;CO01316;Default Title;5500.0;3700.0;2;gid://shopify/Product/8573593288999;Corrente Clássico De Ouro Branco 18K Com Ródio Negro;2.0;1.0;3;CO01316
gid://shopify/ProductVariant/46336262603047;CO01315;Default Title;5500.0;3700.0;1;gid://shopify/Product/8573593682215;Corrente Clássico De Ouro Branco 18K;1.0;1.0;3;CO01315
gid://shopify/ProductVariant/46336263815463;CO01313;Default Title;3500.0;2300.0;7;gid://shopify/Product/8573593846055;Corrente Clássico De Ouro Rosa 18K;7.0;1.0;3;CO01313
gid://shopify/ProductVariant/46336265126183;CO01317;Default Title;4500.0;3700.0;4;gid://shopify/Product/8573594009895;Corrente Clássico De Ouro Rosa 18K;4.0;1.0;3;CO01317
gid://shopify/ProductVariant/46336266240295;BR02212T;Default Title;3900.0;2300.0;6;gid://shopify/Product/8573594140967;Piercing Clássico De Ouro Amarelo 18K E Diamante;6.0;1.0;3;BR02212T
gid://shopify/ProductVariant/46336268009767;BR03682T;Default Title;3500.0;1950.0;6;gid://shopify/Product/8573594435879;Piercing Clássico De Ouro Branco 18K Com Ródio Negro E Diamante;6.0;1.0;3;BR03682T
gid://shopify/ProductVariant/46336268599591;BR02192T;Default Title;3900.0;2300.0;6;gid://shopify/Product/8573594534183;Piercing Clássico De Ouro Branco 18K E Diamante;6.0;1.0;3;BR02192T
gid://shopify/ProductVariant/46336268632359;PU01082T;Default Title;2900.0;1850.0;8;gid://shopify/Product/8573594566951;Pulseira Clássico De Ouro Amarelo 18K E Safira;8.0;1.0;3;PU01082T
gid://shopify/ProductVariant/46336269353255;PU01278T;Default Title;2900.0;1650.0;7;gid://shopify/Product/8573594763559;Pulseira Clássico De Ouro Branco 18K Com Ródio Negro E Diamante Negro;7.0;1.0;3;PU01278T
gid://shopify/ProductVariant/46336269943079;PU01314T;Default Title;2900.0;1850.0;6;gid://shopify/Product/8573594861863;Pulseira Clássico De Ouro Branco 18K Com Ródio Negro E Safira;6.0;1.0;3;PU01314T
gid://shopify/ProductVariant/46336270631207;PU01081T;Default Title;2900.0;1850.0;7;gid://shopify/Product/8573595091239;Pulseira Clássico De Ouro Branco 18K E Safira;7.0;1.0;3;PU01081T
gid://shopify/ProductVariant/46336274202919;PU01074T;Default Title;2900.0;1850.0;9;gid://shopify/Product/8573595418919;Pulseira Clássico De Ouro Rosa 18K E Safira;9.0;1.0;3;PU01074T
