id;sku;title;price;compareAtPrice;inventoryQuantity;product_id;title.1;totalInventory;totalVariants;mediaCount;sku_2
gid://shopify/ProductVariant/46335226708263;BR05398T;Default Title;1250.0;1250.0;5;gid://shopify/Product/8573505634599;Brinco Chain  - Unitário | Prata Com Ouro Amarelo 18k;5;1;4;BR05398T
gid://shopify/ProductVariant/46335229755687;BR05400T;G;2300.0;2300.0;5;gid://shopify/Product/8573505896743;Brinco Argola Chain - G | Prata Com Ouro Amarelo 18k;5;1;5;BR05400T
gid://shopify/ProductVariant/46335232704807;BR05404T;Default Title;980.0;980.0;5;gid://shopify/Product/8573506093351;Brinco Chain - Unitário | Prata Com Ouro Amarelo 18k;5;1;5;BR05404T
gid://shopify/ProductVariant/46335235391783;BR05407T;Default Title;1800.0;1800.0;6;gid://shopify/Product/8573506322727;Brinco Ear Cuff Chain | Prata Com Ouro Amarelo 18k;6;1;4;BR05407T
gid://shopify/ProductVariant/46335237685543;BR05411T;P;1600.0;1600.0;5;gid://shopify/Product/8573506486567;Brinco Argola Chain - P | Prata Com Ouro Amarelo 18k;5;1;5;BR05411T
gid://shopify/ProductVariant/46335239291175;BR05602T;Default Title;1400.0;1400.0;7;gid://shopify/Product/8573506617639;Brinco Argola Chain - Mini | Prata Com Ouro Amarelo 18k;7;1;5;BR05602T
gid://shopify/ProductVariant/46335240372519;BR05399T;Default Title;1250.0;1250.0;11;gid://shopify/Product/8573506715943;Brinco Chain - Unitário | Prata Com Ródio Negro;11;1;3;BR05399T
gid://shopify/ProductVariant/46335241519399;BR05405T;Default Title;980.0;980.0;0;gid://shopify/Product/8573506879783;Brinco Chain - Unitário | Prata Com Ródio Negro;0;1;3;BR05405T
gid://shopify/ProductVariant/46335242633511;BR05408T;Default Title;1800.0;1800.0;0;gid://shopify/Product/8573506978087;Brinco Ear Cuff Chain | Prata Com Ródio Negro;0;1;3;BR05408T
gid://shopify/ProductVariant/46335245091111;BR05412T;P;1600.0;1600.0;1;gid://shopify/Product/8573507240231;Brinco Argola Chain - P | Prata Com Ródio Negro;1;1;4;BR05412T
gid://shopify/ProductVariant/46335247352103;CL04178;P;6200.0;6200.0;6;gid://shopify/Product/8573507469607;Colar Chain - P | Prata Com Ouro Amarelo 18K;6;1;3;CL04178
gid://shopify/ProductVariant/46335251644711;CL04182;G;8500.0;8500.0;9;gid://shopify/Product/8573507830055;Colar Chain - G | Prata Com Ouro Amarelo 18K;9;1;5;CL04182
gid://shopify/ProductVariant/46335255904551;CL04179;P;6200.0;6200.0;5;gid://shopify/Product/8573508124967;Colar Chain - P | Prata Com Ródio Negro;5;1;3;CL04179
gid://shopify/ProductVariant/46335260197159;BR05606T;Default Title;980.0;980.0;8;gid://shopify/Product/8573508452647;Piercing Chain | Prata Com Ouro Amarelo 18K;8;1;4;BR05606T
