id;sku;title;price;compareAtPrice;inventoryQuantity;product_id;title.1;totalInventory;totalVariants;mediaCount;sku_2
gid://shopify/ProductVariant/46358793847079;PU01965T;P;3500.0;3500.0;14;gid://shopify/Product/8578446229799;Pulseira Leopardo De Prata Com Ouro Amarelo;48.0;4.0;5;PU01965T
gid://shopify/ProductVariant/46393437094183;AN02949-10;10;18500.0;17000.0;5;gid://shopify/Product/8582654296359;ANEL 15 ANOS | OURO BRANCO 18K COM RÓDIO NEGRO E DIAMANTES;67.0;13.0;3;AN02949
gid://shopify/ProductVariant/46393446695207;AN03506-10;10;9900.0;7900.0;5;gid://shopify/Product/8582655705383;Anel Celebrate | Ouro Amarelo 18K e Diamantes;66.0;13.0;4;AN03506
gid://shopify/ProductVariant/46393447383335;AN03513-10;10;7300.0;5900.0;5;gid://shopify/Product/8582655901991;Anel Celebrate | Ouro Amarelo 18K e Esmeraldas;66.0;13.0;4;AN03513
gid://shopify/ProductVariant/46393447973159;AN03505-10;10;12900.0;11900.0;5;gid://shopify/Product/8582656098599;Anel Celebrate | Ouro Branco 18K E Diamantes;68.0;13.0;3;AN03505
gid://shopify/ProductVariant/46393448628519;AN03512-10;10;7300.0;5900.0;5;gid://shopify/Product/8582656327975;Anel Celebrate | Ouro Branco 18K e Esmeraldas;67.0;13.0;3;AN03512
gid://shopify/ProductVariant/46393449120039;AN03073-10;10;1100.0;1100.0;5;gid://shopify/Product/8582656426279;Anel Chain |  Prata Com Ouro Amarelo 18k;72.0;13.0;3;AN03073
gid://shopify/ProductVariant/46393449939239;AN03074-10;10;1100.0;1100.0;0;gid://shopify/Product/8582656590119;Anel Chain | Prata Com Ródio Negro;4.0;13.0;3;AN03074
gid://shopify/ProductVariant/46393450594599;AL00031-10;10;3900.0;3100.0;5;gid://shopify/Product/8582656655655;ALIANÇA CLÁSSICO | OURO AMARELO 18K;68.0;13.0;2;AL00031
gid://shopify/ProductVariant/46393451315495;AL00037-10;10;5600.0;4500.0;5;gid://shopify/Product/8582656786727;ALIANÇA CLÁSSICO | OURO AMARELO 18K;67.0;13.0;3;AL00037
gid://shopify/ProductVariant/46393451741479;AL0127-10;10;3100.0;2600.0;5;gid://shopify/Product/8582656819495;ALIANÇA CLÁSSICO | OURO AMARELO 18K;67.0;13.0;2;AL0127
gid://shopify/ProductVariant/46393452626215;AL0129-10;10;4600.0;3800.0;5;gid://shopify/Product/8582657016103;ALIANÇA CLÁSSICO | OURO AMARELO 18K;67.0;13.0;2;AL0129
gid://shopify/ProductVariant/46393453248807;AL0131-10;10;6200.0;5300.0;5;gid://shopify/Product/8582657147175;ALIANÇA CÁSSICO | OURO AMARELO 18K;69.0;13.0;3;AL0131
gid://shopify/ProductVariant/46393454068007;AL00033-10;10;3900.0;3100.0;5;gid://shopify/Product/8582657311015;ALIANÇA CLÁSSICO | OURO BRANCO 18K;70.0;13.0;2;AL00033
gid://shopify/ProductVariant/46393454723367;AL0119-10;10;3100.0;2600.0;5;gid://shopify/Product/8582657442087;ALIANÇA CLÁSSICO | OURO BRANCO 18K;69.0;13.0;1;AL0119
gid://shopify/ProductVariant/46393455771943;AL0121-10;10;4600.0;3800.0;5;gid://shopify/Product/8582657573159;ALIANÇA CLÁSSICO | OURO BRANCO 18K;71.0;13.0;3;AL0121
gid://shopify/ProductVariant/46393456623911;AL0123-10;10;6200.0;5300.0;5;gid://shopify/Product/8582657736999;ALIANÇA CLÁSSICO | OURO BRANCO 18K;68.0;13.0;2;AL0123
gid://shopify/ProductVariant/46393457836327;AL00042-10;10;5600.0;4500.0;5;gid://shopify/Product/8582657900839;ALIANÇA CLÁSSICO | OURO ROSA 18K;66.0;13.0;2;AL00042
gid://shopify/ProductVariant/46393458458919;AL00049-10;10;3900.0;3100.0;5;gid://shopify/Product/8582657966375;ALIANÇA CLÁSSICO | OURO ROSA 18K;69.0;13.0;2;AL00049
gid://shopify/ProductVariant/46393459015975;AL00069-10;10;3100.0;2600.0;5;gid://shopify/Product/8582658031911;ALIANÇA CLÁSSICO | OURO ROSA 18K;69.0;13.0;3;AL00069
gid://shopify/ProductVariant/46393460621607;AN03191-10;10;7700.0;7700.0;5;gid://shopify/Product/8582658294055;Anel Deco 2019 | Ouro Amarelo 18K COM RÓDIO NEGRO E DIAMANTES;66.0;13.0;2;AN03191
gid://shopify/ProductVariant/46393469305127;AN03565-10;10;10200.0;10200.0;5;gid://shopify/Product/8582659309863;Anel Dolce Vita | Ouro Amarelo 18K com Turquesa;66.0;13.0;3;AN03565
gid://shopify/ProductVariant/46393469993255;AN03566-10;10;9200.0;9200.0;5;gid://shopify/Product/8582659506471;Anel Dolce Vita | Ouro Amarelo 18K com Ágata;66.0;13.0;3;AN03566
gid://shopify/ProductVariant/46393474810151;AN0793-10;10;5500.0;5500.0;5;gid://shopify/Product/8582660292903;Anel Fetiche | Ouro Amarelo 18K;68.0;13.0;3;AN0793
gid://shopify/ProductVariant/46393475334439;AN01150-10;10;5500.0;5500.0;5;gid://shopify/Product/8582660358439;Anel Fetiche | Ouro Branco 18K Com Ródio Negro;66.0;13.0;2;AN01150
gid://shopify/ProductVariant/46393475825959;AN0792-10;10;5500.0;5500.0;5;gid://shopify/Product/8582660456743;Anel Fetiche | Ouro Branco 18K;68.0;13.0;3;AN0792
gid://shopify/ProductVariant/46393476874535;AN0791-10;10;5500.0;5500.0;5;gid://shopify/Product/8582660587815;Anel Fetiche | Ouro Rosa 18K;68.0;13.0;3;AN0791
gid://shopify/ProductVariant/46393480806695;AN03305-10;10;4200.0;3200.0;5;gid://shopify/Product/8582660751655;Anel First Diamond | Ouro Branco 18K E Diamante;66.0;13.0;2;AN03305
gid://shopify/ProductVariant/46393482543399;AN03026-10;10;6500.0;6500.0;5;gid://shopify/Product/8582660882727;Anel Lifestyle | Ouro Branco 18K Com Ródio Negro, Diamantes E Esmeralda;66.0;13.0;2;AN03026
