Cod_Prod;sku_2;product_id
BR06209T;BR06209T;gid://shopify/Product/8577997734183
BR06212T;BR06212T;gid://shopify/Product/8577997570343
BR06231T;BR06231T;gid://shopify/Product/8608939508007
BR06272T;BR06272T;gid://shopify/Product/8775433912615
BR06302T;BR06302T;gid://shopify/Product/8573494231335
BR06370T;BR06370T;gid://shopify/Product/8608939868455
BR06378T;BR06378T;gid://shopify/Product/8573495607591
BR06424T;BR06424T;gid://shopify/Product/8608707871015
BR06503T;BR06503T;gid://shopify/Product/8577861583143
BR06544T;BR06544T;gid://shopify/Product/8577852866855
BR06545T;BR06545T;gid://shopify/Product/8577852965159
BR06549T;BR06549T;gid://shopify/Product/8577853587751
BR06611T;BR06611T;gid://shopify/Product/8775511277863
BR06620T;BR06620T;gid://shopify/Product/8630834528551
BR06625T;BR06625T;gid://shopify/Product/8630835773735
BR06628T;BR06628T;gid://shopify/Product/8630836298023
BR06629T;BR06629T;gid://shopify/Product/8630836592935
BR06642T;BR06642T;gid://shopify/Product/8775435616551
BR06681T;BR06681T;gid://shopify/Product/9055168299303
BR06708T;BR06708T;gid://shopify/Product/9059695558951
BR06734T;BR06734T;gid://shopify/Product/9059693887783
BR06760T;BR06760T;gid://shopify/Product/9059682648359
BR06792T;BR06792T;gid://shopify/Product/9059714760999
BR06819T;BR06819T;gid://shopify/Product/9059678290215
BR06859T;BR06859T;gid://shopify/Product/9182872404263
BR06860T;BR06860T;gid://shopify/Product/9182874665255
BR06878T;BR06878T;gid://shopify/Product/9563499659559
BR06879T;BR06879T;gid://shopify/Product/9564214722855
BR06886;BR06886;gid://shopify/Product/9563542257959
BR06887;BR06887;gid://shopify/Product/9564157968679
BR06947;BR06947;gid://shopify/Product/9797546541351
BR06951;BR06951;gid://shopify/Product/9798221824295
BR06955;BR06955;gid://shopify/Product/9798233489703
BR06965;BR06965;gid://shopify/Product/9798235947303
BR06967;BR06967;gid://shopify/Product/9798244794663
BR06968;BR06968;gid://shopify/Product/9798254559527
CL00730;CL00730;gid://shopify/Product/8573628940583
CL00999;CL00999;gid://shopify/Product/8573592568103
CL01000;CL01000;gid://shopify/Product/8573592142119
CL01116;CL01116;gid://shopify/Product/8578013757735
CL01134;CL01134;gid://shopify/Product/8578013364519
CL01285;CL01285;gid://shopify/Product/8573635428647
CL01449;CL01449;gid://shopify/Product/8573581426983
CL01450;CL01450;gid://shopify/Product/8573580116263
CL04022;CL04022;gid://shopify/Product/8573204300071
CL04023;CL04023;gid://shopify/Product/8573203317031
CL04141;CL04141;gid://shopify/Product/8775510917415
CL04178;CL04178;gid://shopify/Product/8573507469607
CL04197;CL04197;gid://shopify/Product/8577729659175
CL04198;CL04198;gid://shopify/Product/8577730019623
CL04313;CL04313;gid://shopify/Product/8577922335015
CL04314;CL04314;gid://shopify/Product/8577922466087
CL04478;CL04478;gid://shopify/Product/8578445705511
CL04525;CL04525;gid://shopify/Product/8578001633575
CL04550;CL04550;gid://shopify/Product/8578411102503
CL04622;CL04622;gid://shopify/Product/8577854243111
CL04631;CL04631;gid://shopify/Product/8577854800167
CL04706;CL04706;gid://shopify/Product/9182875844903
CL04725;CL04725;gid://shopify/Product/9564752183591
CL04749;CL04749;gid://shopify/Product/9798271172903
CO00012;CO00012;gid://shopify/Product/8608794247463
CO00023;CO00023;gid://shopify/Product/8573593420071
CO01277;CO01277;gid://shopify/Product/8573593551143
CO01279;CO01279;gid://shopify/Product/8577838547239
CO01280;CO01280;gid://shopify/Product/8577838711079
CO01281;CO01281;gid://shopify/Product/8577838842151
CO01292;CO01292;gid://shopify/Product/8608793952551
CO01308;CO01308;gid://shopify/Product/8577922564391
CO01312;CO01312;gid://shopify/Product/8573593190695
CO01313;CO01313;gid://shopify/Product/8573593846055
CO01315;CO01315;gid://shopify/Product/8573593682215
CO01317;CO01317;gid://shopify/Product/8573594009895
CO01320;CO01320;gid://shopify/Product/8608794837287
CO01322;CO01322;gid://shopify/Product/8608794673447
CO01328;CO01328;gid://shopify/Product/8577861943591
CO01336;CO01336;gid://shopify/Product/9055252644135
CO0746;CO0746;gid://shopify/Product/8608795033895
CO0857;CO0857;gid://shopify/Product/8573629727015
CO0937A;CO0937A;gid://shopify/Product/8578165080359
CO0940B;CO0940B;gid://shopify/Product/8578165244199
CO0993;CO0993;gid://shopify/Product/8577738801447
PI01062;PI01062;gid://shopify/Product/8573639262503
PI01063;PI01063;gid://shopify/Product/8573639622951
PI01065;PI01065;gid://shopify/Product/8573638148391
PI01071;PI01071;gid://shopify/Product/8582010962215
PI01073;PI01073;gid://shopify/Product/8578319286567
PI01098;PI01098;gid://shopify/Product/8578319089959
PI01125;PI01125;gid://shopify/Product/8582011060519
PI01127;PI01127;gid://shopify/Product/8582011158823
PI01132;PI01132;gid://shopify/Product/8582011257127
PI01133;PI01133;gid://shopify/Product/8582011289895
PI01136;PI01136;gid://shopify/Product/8582011453735
PI01138;PI01138;gid://shopify/Product/8582011519271
PI01139;PI01139;gid://shopify/Product/8582011650343
PI01145;PI01145;gid://shopify/Product/8582014763303
