id;sku;title;price;compareAtPrice;inventoryQuantity;product_id;title.1;totalInventory;totalVariants;mediaCount.count;sku_2;variant.sku;variant.id;encomenda ouro;encomenda prata;Encomendavel;Em estoque
gid://shopify/ProductVariant/46335067750695;BR06377T;Default Title;37900.0;33000.0;5;gid://shopify/Product/8573491413287;Brinco Celebrate Duo | Ouro Amarelo 18K e Diamantes;5;1;3;BR06377T;BR06377T;gid://shopify/ProductVariant/46335067750695;5.0;0.0;True;False
gid://shopify/ProductVariant/46335074533671;BR06379T;Default Title;25500.0;22000.0;6;gid://shopify/Product/8573492003111;Brinco Celebrate | Ouro Amarelo 18K e Diamantes;6;1;4;BR06379T;BR06379T;gid://shopify/ProductVariant/46335074533671;5.0;0.0;True;True
gid://shopify/ProductVariant/46335077777703;BR06380T;Default Title;19900.0;14000.0;5;gid://shopify/Product/8573492298023;Brinco Celebrate Franja | Ouro Amarelo 18K e Diamantes;5;1;3;BR06380T;BR06380T;gid://shopify/ProductVariant/46335077777703;5.0;0.0;True;False
gid://shopify/ProductVariant/46335081349415;BR06381T;Default Title;5900.0;4500.0;7;gid://shopify/Product/8573492592935;Brinco Celebrate Plus Solitário | Ouro Amarelo 18K e Diamantes;7;1;3;BR06381T;BR06381T;gid://shopify/ProductVariant/46335081349415;5.0;0.0;True;True
gid://shopify/ProductVariant/46335086264615;BR06387T;Default Title;13500.0;9100.0;5;gid://shopify/Product/8573492986151;Brinco Celebrate Rock | Ouro Amarelo 18K e Diamantes;5;1;3;BR06387T;BR06387T;gid://shopify/ProductVariant/46335086264615;5.0;0.0;True;False
gid://shopify/ProductVariant/46335092654375;BR06299T;Default Title;20900.0;15000.0;6;gid://shopify/Product/8573493510439;Brinco Celebrate Franja | Ouro Branco 18K E Diamantes;6;1;4;BR06299T;BR06299T;gid://shopify/ProductVariant/46335092654375;5.0;0.0;True;True
gid://shopify/ProductVariant/46335096095015;BR06301T;Default Title;5900.0;4500.0;5;gid://shopify/Product/8573493870887;Brinco Celebrate Plus Unitário | Ouro Branco 18K e Diamante;5;1;3;BR06301T;BR06301T;gid://shopify/ProductVariant/46335096095015;5.0;0.0;True;False
gid://shopify/ProductVariant/46335101468967;BR06302T;Default Title;13900.0;9400.0;7;gid://shopify/Product/8573494231335;Brinco Celebrate Rock | Ouro Branco 18K e Diamantes;7;1;3;BR06302T;BR06302T;gid://shopify/ProductVariant/46335101468967;5.0;0.0;True;True
gid://shopify/ProductVariant/46335104123175;BR06372T;Default Title;105900.0;105900.0;6;gid://shopify/Product/8573494559015;Brinco Celebrate Triplo | Ouro Branco 18K com Diamantes;6;1;4;BR06372T;BR06372T;gid://shopify/ProductVariant/46335104123175;5.0;0.0;True;True
gid://shopify/ProductVariant/46335107072295;BR06374T;Default Title;78500.0;68000.0;5;gid://shopify/Product/8573494853927;Brinco Celebrate Duplo | Ouro Branco 18K e Diamantes;5;1;4;BR06374T;BR06374T;gid://shopify/ProductVariant/46335107072295;5.0;0.0;True;False
